,X,Y,Z,formation,,,,
1,212886.47,386293.25,1438.84,Viersen_Fault,,,,
2,214018.93,381038.23,1292.09,Viersen_Fault,,,,
3,214036.47,378345.8,878.66,Viersen_Fault,,,,
4,212497.13,388727.5,1778.52,Viersen_Fault,,,,
5,214900.68,375129.38,935.02,Viersen_Fault,,,,
6,213457.42,386470.3,2244.7,Viersen_Fault,,,,
7,212514.47,386177.89,1101.1,Viersen_Fault,,,,
8,215329.55,378816.92,2076.21,Viersen_Fault,,,,
9,215593.71,378913.17,2494.1,Viersen_Fault,,,,
10,211390,385830,1762.87,Base_Tertiary,,,,
11,203610,379150,1879.86,Base_Tertiary,,,,
12,205490,391220,1886.02,Base_Tertiary,,,,
13,212420,377300,1762.2,Base_Tertiary,,,,
14,214530,386790,2046.25,Base_Tertiary,,,,
15,203010,373670,1200.1,Top_Dinantian,,,,
16,208149,384817,1354,Top_Dinantian,,,,
17,209280,385170,1327.1,Top_Dinantian,,,,
18,207450,387560,1376.9,Top_Dinantian,,,,
19,204060,393744,916,Base_Dinantian,,,,
20,203000,383000,1172.1,Base_Dinantian,,,,
21,204000,394000,908.2,Base_Dinantian,,,,
22,211000,381000,1159.2,Base_Dinantian,,,,
23,200710,382530,439.8,Top_Devonian,,,,
24,205490,391230,551.7,Top_Devonian,,,,
25,202850,371960,674.5,Top_Devonian,,,,
26,204970,386800,1029.9,Top_Devonian,,,,
